nom|calcul|titre|description|form|theme|valeur|unite|autres
h|PoutreRectELU|Hauteur de poutre||<input type="text" value="" name="h" size="4" />|Donn&eacute;es||m|
e|PoutreRectELU|Enrobage de l'acier||<input type="text" value="" name="e" size="4" />|Donn&eacute;es||m|
Fc28|PoutreRectELU|R&eacute;sistance caract&eacute;ristique du b&eacute;ton en compression||<input type="text" value="" name="Fc28" size="4" />|Donn&eacute;es||Mpa|
Fe|PoutreRectELU|Limite d'&eacute;lasticit&eacute; de l'acier||<input type="text" value="" name="Fe" size="4" />|Donn&eacute;es||Mpa|
MG|SectionRectFlexSimple|Charges d'exploitation||<input type="text" value="" name="MG" size="4" />|Donn&eacute;es||KN.m|
MQ|SectionRectFlexSimple|Charges permanentes||<input type="text" value="" name="MQ" size="4" />|Donn&eacute;es||KN.m|
b|SectionRectFlexSimple|Largeur de la poutre||<input type="text" value="" name="b" size="4" />|Donn&eacute;es||m|
h|SectionRectFlexSimple|Hauteur de poutre||<input type="text" value="" name="h" size="4" />|Donn&eacute;es||m|
e|SectionRectFlexSimple|Enrobage de l'acier||<input type="text" value="" name="e" size="4" />|Donn&eacute;es||m|
d_p|SectionRectFlexSimple|d'||<input type="text" value="" name="d_p" size="4" />|Donn&eacute;es||m|
Fc28|SectionRectFlexSimple|R&eacute;sistance caract&eacute;ristique du b&eacute;ton en compression||<input type="text" value="" name="Fc28" size="4" />|Donn&eacute;es||Mpa|
Fe|SectionRectFlexSimple|Limite d'&eacute;lasticit&eacute; de l'acier||<input type="text" value="" name="Fe" size="4" />|Donn&eacute;es||Mpa|
Gp|Dalle2Appuis|Charges (G) diverses||<input type="text" value="" name="Gp" size="4" />|||KN/m<sup>2</sup>|
TypeTrav|Dalle2Appuis|Trav&eacute;e de rive||Oui : <input type="radio" value="oui" name="TypeTrav" size="4" /> - Non (intermediaire) : <input type="radio" value="non" name="TypeTrav" size="4"  checked/>||||
ep|Dalle2Appuis|Epaisseur de la dalle||<input type="text" value="" name="ep" size="4" />|||m|
FeE|Dalle2Appuis|Contrainte de l'acier utilis&eacute;||<input type="text" value="" name="FeE" size="4" />|||MPa|
Fc28|Dalle2Appuis|Contrainte du b&eacute;ton &agrave; 28 jours||<input type="text" value="" name="Fc28" size="4" />|||MPa|
Q|Dalle2Appuis|Charges d'exploitation Q||<input type="text" value="" name="Q" size="4" />|||KN/m<sup>2</sup>|
C|Dalle2Appuis|Enrobage des aciers||<input type="text" value="" name="C" size="4" />|||cm|
CoefMw|Dalle2Appuis|Coefficient Mw||<input type="text" value="" name="CoefMw" size="4" />|Coefficients||M0|
M0Mw|Dalle2Appuis|Pour Mw, M0 pr&eacute;pond &agrave; :||<input type="text" value="" name="M0Mw" size="4" />|Coefficients||KN.m|
CoefMe|Dalle2Appuis|Coefficient Me||<input type="text" value="" name="CoefMe" size="4" />|Coefficients||M0|
M0Me|Dalle2Appuis|Pour Me, M0 pr&eacute;pond &agrave; :||<input type="text" value="" name="M0Me" size="4" />|Coefficients||KN.m|
M0|Dalle2Appuis|Trav&eacute;e||<input type="text" value="" name="M0" size="4" />|Coefficients||KN.m|
Lx|Dalle2Appuis|Lx||<input type="text" value="" name="Lx" size="4" />|Coordonn&eacute;es||m|
Ly|Dalle2Appuis|Ly||<input type="text" value="" name="Ly" size="4" />|Coordonn&eacute;es||m|
b|Tirant|Grand côt&eacute; du tirant||<input type="text" value="" name="b" size="4" />|||m|
a|Tirant|Petit côt&eacute; du tirant||<input type="text" value="" name="a" size="4" />|||m|
Fe|Tirant|Contrainte de l'acier utilis&eacute;||<input type="text" value="" name="Fe" size="4" />|||Mpa|
Fc28|Tirant|Contrainte du b&eacute;ton &agrave; 28 jours||<input type="text" value="" name="Fc28" size="4" />|||Mpa|
Nser|Tirant|Effort de service||<input type="text" value="" name="Nser" size="4" />|||MN|
G|Tirant|G||<input type="text" value="" name="G" size="4" />|||MN|
Q|Tirant|Q||<input type="text" value="" name="Q" size="4" />|||MN|
CondFis|Tirant|Conditions de fissure||<select name="CondFis"><option value="1" selected>FP</option><option value="2">FTP</option></select>||||
fi|Tirant|fi||<input type="text" value="1.6" name="fi" size="4" />|Autres|||
Ast|Tirant|Ast(pour les verifications)||<input type="text" value="4" name="Ast" size="4" />|Autres|||
eh|Tirant|eh(pour les verifications)||<input type="text" value="3" name="eh" size="4" />|Autres|||
At|Tirant|Section des aciers transversaux||<input type="text" value="0.57" name="At" size="4" />|D&eacute;termination des armatures transversales||mm|
fi_l|Tirant|Diamètre des armatures tendues||<input type="text" value="16" name="fi_l" size="4" />|Choix d' une section commerciale||mm|
lo|Escalier|Hauteur totale &agrave; franchir||<input type="text" value="" name="lo" size="4" />|||m|
n1_m|Escalier|Nombre de marches||<input type="text" value="" name="n1_m" size="4" />||||
nc|Escalier|Nombre de contremarches||<input type="text" value="" name="nc" size="4" />||||
n1_e|Escalier|Emmarchement||<input type="text" value="" name="n1_e" size="4" />||||
ep|Escalier|Epaisseur||<input type="text" value="" name="ep" size="4" />|||cm|
pvb|Escalier|Poids volumique du b&eacute;ton||<input type="text" value="" name="pvb" size="4" />|||KN/m3|
Fe|Escalier|Contrainte de l'acier utilis&eacute;||<input type="text" value="" name="Fe" size="4" />|||MPa|
Fc28|Escalier|Contrainte du b&eacute;ton &agrave; 28 jours||<input type="text" value="" name="Fc28" size="4" />|||Mpa|
CondFis|Escalier|Conditions de fissuration||<select name="CondFis"><option value="1">Peu pr&eacute;judiciable</option></select>||||
l|Escalier|Longueur de vol&eacute;e &eacute;tudi&eacute;e||<input type="text" value="" name="l" size="4" />|Autres||m|
n|Escalier|Nombre de marches conçern&eacute;es||<input type="text" value="" name="n" size="4" />|Autres|||
g|Escalier|Giron||<input type="text" value="28.5" name="g" size="4" />|Autres||cm|
mu_l|Escalier|Moment r&eacute;duit ultime ( D&eacute;pend du type d'acier )||<input type="text" value="" name="mu_l" size="4" />|Autres|||
b|PoutreTELU|Largeur de la table||<input type="text" value="" name="b" size="4" />|||m|
bo|PoutreTELU|Largeur de la retomb&eacute;e||<input type="text" value="" name="bo" size="4" />|||m|
ho|PoutreTELU|Hauteur de la table||<input type="text" value="" name="ho" size="4" />|||m|
d|PoutreTELU|Hauteur utile des aciers tendus||<input type="text" value="" name="d" size="4" />|||m|
G|PoutreTELU|G||<input type="text" value="" name="G" size="4" />||||
Q|PoutreTELU|Q||<input type="text" value="" name="Q" size="4" />||||
Fe|PoutreTELU|Contrainte de l'acier utilis&eacute;||<input type="text" value="" name="Fe" size="4" />|||Mpa|
Fc28|PoutreTELU|Contrainte du b&eacute;ton &agrave; 28 jours||<input type="text" value="" name="Fc28" size="4" />|||Mpa|
mu_l|PoutreTELU|Moment critique r&eacute;duit||<input type="text" value="" name="mu_l" size="4" />||||
